Char | Frequency | Huffman Code
-------------------------------
' '   | 26479     | 110
e     | 15078     | 001
t     | 11032     | 1001
o     | 9487      | 0111
a     | 9378      | 0110
n     | 8332      | 0100
i     | 7391      | 0001
s     | 7328      | 0000
r     | 7131      | 11110
h     | 6987      | 11101
d     | 5694      | 10101
l     | 4706      | 10000
u     | 3419      | 111110
c     | 3064      | 111000
m     | 2954      | 101111
\n    | 2930      | 101101
\r    | 2930      | 101110
f     | 2866      | 101100
w     | 2809      | 101000
y     | 2720      | 100011
,     | 2195      | 010111
g     | 2187      | 010110
p     | 1930      | 1111111
b     | 1695      | 1110011
.     | 1437      | 1010011
‚     | 1220      | 1000101
Ä     | 1163      | 1000100
k     | 1047      | 0101010
v     | 945       | 11111101
I     | 870       | 11100101
|     | 527       | 01010110
ú     | 448       | 111111001
ù     | 439       | 111111000
T     | 352       | 101001010
H     | 271       | 010100111
A     | 246       | 010100101
E     | 240       | 010100010
U     | 193       | 1110010001
ô     | 192       | 1110010000
M     | 184       | 1010010110
P     | 180       | 1010010011
S     | 165       | 1010010001
G     | 156       | 0101011111
x     | 156       | 1010010000
j     | 143       | 0101011101
L     | 130       | 0101011100
D     | 125       | 0101001100
J     | 123       | 0101001001
N     | 122       | 0101001000
q     | 122       | 0101000111
?     | 120       | 0101000110
O     | 119       | 0101000010
R     | 117       | 0101000001
Y     | 100       | 11100100111
W     | 99        | 11100100110
B     | 98        | 11100100100
-     | 95        | 10100101111
F     | 90        | 10100100101
C     | 75        | 01010111101
î     | 73        | 01010111100
1     | 64        | 01010011011
:     | 63        | 01010011010
¢     | 61        | 01010000111
Ñ     | 57        | 01010000001
!     | 54        | 01010000000
(     | 49        | 111001001010
)     | 49        | 101001011101
z     | 36        | 101001001000
0     | 20        | 1010010010011
_     | 20        | 1010010010010
8     | 15        | 0101000011010
V     | 13        | 0101000011000
2     | 13        | 11100100101110
*     | 12        | 10100101110011
3     | 12        | 11100100101100
K     | 12        | 11100100101101
5     | 11        | 10100101110010
4     | 10        | 10100101110000
9     | 7         | 01010000110011
ò     | 7         | 01010000110010
6     | 7         | 111001001011111
/     | 6         | 111001001011110
Q     | 6         | 101001011100011
7     | 5         | 010100001101111
√     | 3         | 1010010111000101
$     | 2         | 1010010111000100
X     | 2         | 0101000011011101
©     | 2         | 0101000011011000
#     | 1         | 01010000110110010
%     | 1         | 01010000110110110
[     | 1         | 01010000110110111
]     | 1         | 01010000110111001
†     | 1         | 01010000110110011
ª     | 1         | 01010000110110100
ø     | 1         | 01010000110110101
Ô     | 1         | 01010000110111000
